Property Type Cleaned,Area Cleaned,ClubHouse Cleaned,School Cleaned,Hospital Cleaned,Mall Cleaned,Park Cleaned,Pool Cleaned,Gym Cleaned,Price by sub-area,Amenities score,Price by Amenities score,Noun_Counts,Verb_Counts,Adjective_Counts,bedroom apartment,boasts elegant,elegant towers,great community,mantra gold,offering bedroom,project boasts,project offers,stories offering,towers stories
2.0,963.0,1,0,0,0,1,1,1,49.5,4,98.58288659793813,10,5,5,0,0,0,0,0,0,0,0,0,0
1.0,421.5,1,0,0,0,1,1,1,36.0,4,98.58288659793813,14,6,7,0,0,0,0,0,0,0,0,0,0
2.0,473.0,1,0,0,0,1,1,1,36.0,4,98.58288659793813,14,6,3,0,0,0,0,0,0,0,0,0,0
3.0,581.0,1,0,0,0,1,1,1,36.0,4,98.58288659793813,17,3,5,0,0,0,0,0,0,0,0,0,0
2.0,790.0,1,0,0,0,1,1,1,109.66666666666667,4,98.58288659793813,16,8,7,0,0,0,0,0,0,0,0,0,0
2.0,820.0,1,0,0,0,1,1,1,109.66666666666667,4,98.58288659793813,15,7,6,0,0,0,0,0,0,0,0,0,0
3.0,989.0,1,0,0,0,1,1,1,109.66666666666667,4,98.58288659793813,15,4,7,0,0,0,0,0,0,0,0,0,0
3.0,1003.0,1,0,0,0,1,1,1,109.66666666666667,4,98.58288659793813,13,2,4,0,0,0,0,0,0,0,0,0,0
3.0,1182.0,1,0,0,0,1,1,1,109.66666666666667,4,98.58288659793813,17,8,4,1,1,1,1,0,1,1,0,1,1
5.0,1579.0,1,0,0,0,1,1,1,109.66666666666667,4,98.58288659793813,13,2,2,0,0,0,0,0,0,0,0,0,0
0.0,421.5,0,0,0,0,1,0,1,54.0,2,81.48103448275862,16,6,4,1,1,1,1,0,1,1,0,1,1
1.0,491.0,0,0,0,0,1,0,1,54.0,2,81.48103448275862,12,5,6,0,0,0,0,0,0,0,0,0,0
2.0,659.0,0,0,0,0,1,0,1,54.0,2,81.48103448275862,13,8,6,0,0,0,0,0,0,0,0,0,0
2.0,732.0,0,0,0,0,1,0,1,54.0,2,81.48103448275862,16,6,3,0,0,0,0,0,0,0,0,0,0
3.0,809.0,0,0,0,0,0,0,1,54.0,1,62.83238095238095,8,6,5,0,0,0,0,0,0,0,0,0,0
1.0,460.0,0,0,0,0,1,1,1,75.6375,3,69.04065217391305,14,4,4,0,0,0,0,0,0,0,0,0,0
